Brand,Name,Price(in Euros €),Product_Url,Image_Url
Lib Tech,Lib Tech Travis Rice Orca 153 2021,"
        € 489,-",https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Orca+153+2021+Snowboard-628802/,//images.blue-tomato.com/is/image/bluetomato/304372979_front.jpg-mT-5r5rdc_RJZyja5ifTn7VaT5c/Lib+Tech+Travis+Rice+Orca+153+2021+Snowboard.jpg
UNION,UNION Force 2021,"
        € 229,95",https://www.blue-tomato.com/de-AT/product/UNION-Force+2021+Snowboardbindung-618606/?colid=black,//images.blue-tomato.com/is/image/bluetomato/304300372_front.jpg-LYL3F6DHwGPdwkXa6xnzDj4MitM/UNION+Force+2021+Snowboardbindung.jpg
Vans,Vans Hi-Standard OG 2021,"
        € 199,95",https://www.blue-tomato.com/de-AT/product/Vans-Hi+Standard+OG+2021+Snowboardboots-587519/,//images.blue-tomato.com/is/image/bluetomato/304070656_front.jpg-6gyIZZAAOoh7n_NvG46q7Y2lLCY/Vans+Hi+Standard+OG+2021+Snowboardboots.jpg
Lib Tech,Lib Tech Travis Rice Orca 159 2021,"
        € 489,-",https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Orca+159+2021+Snowboard-628804/,//images.blue-tomato.com/is/image/bluetomato/304372981_front.jpg-96m4Hg2nNjZVUatTkBRt-s2jSJM/Lib+Tech+Travis+Rice+Orca+159+2021+Snowboard.jpg
Smith,Smith Holt 2 Helmet,"
        € 59,95",https://www.blue-tomato.com/de-AT/product/Smith-Holt+2+Helm-369334/,//images.blue-tomato.com/is/image/bluetomato/302301250_front.jpg-ZR46rJpf37m8F52FMZBFEu12YZ8/Smith+Holt+2+Helm.jpg
Oakley,Oakley Flight Deck XL Matte Black,"
        € 149,95",https://www.blue-tomato.com/de-AT/product/Oakley-Flight+Deck+matte+black+Goggle-339421/,//images.blue-tomato.com/is/image/bluetomato/302218320_front.jpg-RVilWO8lbfOWQSfvTsQC8TA0uGQ/Oakley+Flight+Deck+matte+black+Goggle.jpg
Vans,Vans Infuse 2021,"
        € 349,95",https://www.blue-tomato.com/de-AT/product/Vans-Infuse+2021+Snowboardboots-628304/,//images.blue-tomato.com/is/image/bluetomato/304372016_front.jpg-l7y1g_7-BTaV6uPRkS0l0x7_qFw/Vans+Infuse+2021+Snowboardboots.jpg
Lib Tech,Lib Tech Travis Rice Pro Blunt 153 2021,"
        € 499,-",https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Pro+Blunt+153+2021+Snowboard-628750/,//images.blue-tomato.com/is/image/bluetomato/304372927_front.jpg-MG9xlvmQQ6dU9nwM43V7XpDXi-s/Lib+Tech+Travis+Rice+Pro+Blunt+153+2021+Snowboard.jpg
Lib Tech,Lib Tech Travis Rice Pro Pointy 1615W 2021,"
        € 499,-",https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Pro+Pointy+1615W+2021+Snowboard-628756/,//images.blue-tomato.com/is/image/bluetomato/304372933_front.jpg-YWbhY4iTXwdgplpQ8WflmvpVYbc/Lib+Tech+Travis+Rice+Pro+Pointy+1615W+2021+Snowboard.jpg
Burton,Burton Moto Snowboard Boots,"
        € 169,95",https://www.blue-tomato.com/de-AT/product/Burton-Moto+Snowboard+Boots-522448/,//images.blue-tomato.com/is/image/bluetomato/303513820_front.jpg-qaxMA2uhmLOyP343FhxEOUwbot0/Burton+Moto+Snowboard+Boots.jpg
Burton,Burton Ion Boa 2021,"
        € 379,95",https://www.blue-tomato.com/de-AT/product/Burton-Ion+Boa+2021+Snowboardboots-622767/,//images.blue-tomato.com/is/image/bluetomato/304342561_front.jpg-tqT28LhxT51vtVFmU8U8k6epe0Q/Burton+Ion+Boa+2021+Snowboardboots.jpg
Nitro,Nitro Team Wide 159 2021,"
        € 379,95",https://www.blue-tomato.com/de-AT/product/Nitro-Team+Wide+159+2021+Snowboard-620519/,//images.blue-tomato.com/is/image/bluetomato/304320573_front.jpg-FUasAxjszSihDPGSWu00aCAMCtI/Nitro+Team+Wide+159+2021+Snowboard.jpg
Alibi Snowboards,Alibi Snowboards Motive 163W + Burton Infidel L 2021 Snowboar,"
        € 259,95",https://www.blue-tomato.com/de-AT/product/Alibi+Snowboards-Motive+163W+Burton+Infidel+L+2021+Snowboard+Set-625793/,//images.blue-tomato.com/is/image/bluetomato/304362841_front.jpg-IBfOj5mMWnSJy4m5Lcd3cHz4XA4/Alibi+Snowboards+Motive+163W+Burton+Infidel+L+2021+Snowboard+Set.jpg
Oakley,Oakley O Frame 2.0 Pro XL Black,"
        € 79,95",https://www.blue-tomato.com/de-AT/product/Oakley-O+Frame+2+0+Pro+XL+Black+Goggle-581114/,//images.blue-tomato.com/is/image/bluetomato/304032264_front.jpg-4LDzkHL96kiZmKynoPeBE_V-288/Oakley+O+Frame+2+0+Pro+XL+Black+Goggle.jpg
Lib Tech,Lib Tech Travis Rice Pro Pointy 1645W 2021,"
        € 449,-",https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Pro+Pointy+1645W+2021+Snowboard-628758/,//images.blue-tomato.com/is/image/bluetomato/304372935_front.jpg-fDr1hbfD3c5IzaVOQ-aFyh_4V9M/Lib+Tech+Travis+Rice+Pro+Pointy+1645W+2021+Snowboard.jpg
Burton,Burton Ion Step On 2021,"
        € 419,-",https://www.blue-tomato.com/de-AT/product/Burton-Ion+Step+On+2021-622780/,//images.blue-tomato.com/is/image/bluetomato/304342925_front.jpg-JYXSidVc9j0lSTlMGKVcpmodoo8/Burton+Ion+Step+On+2021.jpg
POC,POC Auric Cut Helmet,"
        € 169,95",https://www.blue-tomato.com/de-AT/product/POC-Auric+Cut+Helm-416602/,//images.blue-tomato.com/is/image/bluetomato/302706114_front.jpg-hitTfcJTbtXHobE0YQZk8vTS6Ug/POC+Auric+Cut+Helm.jpg
Anon,Anon M4 Cylndrical Smoke (+Bonus Lens) + MFI,"
        € 219,95",https://www.blue-tomato.com/de-AT/product/Anon-M4+Cylndrical+Smoke+Bonus+Lens+MFI+Goggle-625858/,//images.blue-tomato.com/is/image/bluetomato/304362936_front.jpg-mOEoY_cuVFCl6Vsm3l_JITdzyIo/Anon+M4+Cylndrical+Smoke+Bonus+Lens+MFI+Goggle.jpg
Nitro,Nitro Team 155 2021,"
        € 379,95",https://www.blue-tomato.com/de-AT/product/Nitro-Team+155+2021+Snowboard-620514/,//images.blue-tomato.com/is/image/bluetomato/304320568_front.jpg-saVwWOSdilAeOu-9ErcON0D0zPI/Nitro+Team+155+2021+Snowboard.jpg
Burton,Burton Photon BOA Snowboard Boots,"
        € 319,95",https://www.blue-tomato.com/de-AT/product/Burton-Photon+BOA+Snowboard+Boots-567043/,//images.blue-tomato.com/is/image/bluetomato/303921586_front.jpg-vfARR5TsYsbsfqCW-kBSolQ0Ny0/Burton+Photon+BOA+Snowboard+Boots.jpg
Oakley,Oakley Flight Tracker XM Factory Pilot White,"
        € 129,95",https://www.blue-tomato.com/de-AT/product/Oakley-Flight+Tracker+XM+Factory+Pilot+White+Goggle-624193/,//images.blue-tomato.com/is/image/bluetomato/304356277_front.jpg-rVRspj1LyWJfCMy-y7UItwMc3W0/Oakley+Flight+Tracker+XM+Factory+Pilot+White+Goggle.jpg
Nitro,Nitro Team TLS 2021,"
        € 319,95",https://www.blue-tomato.com/de-AT/product/Nitro-Team+TLS+2021+Snowboardboots-620651/,//images.blue-tomato.com/is/image/bluetomato/304320837_front.jpg-eF8rDYrm-QW5-7eEvczSBzmiRss/Nitro+Team+TLS+2021+Snowboardboots.jpg
Oakley,Oakley Fall Line XL Matte Black,"
        € 139,95",https://www.blue-tomato.com/de-AT/product/Oakley-Fall+Line+XL+Matte+Black+Goggle-624135/,//images.blue-tomato.com/is/image/bluetomato/304356219_front.jpg-6E8kP4bI7OwBfsMhOmnUSnwH56s/Oakley+Fall+Line+XL+Matte+Black+Goggle.jpg
CAPiTA,CAPiTA Defenders Of Awesome 156 2021,"
        € 419,-",https://www.blue-tomato.com/de-AT/product/CAPiTA-Defenders+Of+Awesome+156+2021+Snowboard-618461/,//images.blue-tomato.com/is/image/bluetomato/304300180_front.jpg-fvDU9sh28u-ADjreCh0WzdcRpJE/CAPiTA+Defenders+Of+Awesome+156+2021+Snowboard.jpg
Burton,Burton Ruler Boa 2021 Snowboard Boots,"
        € 259,95",https://www.blue-tomato.com/de-AT/product/Burton-Ruler+Boa+2021+Snowboard+Boots-622769/?colid=blue,//images.blue-tomato.com/is/image/bluetomato/304342638_front.jpg-Kewc83ygrFp6LhPYl1E-m6BJ-Hw/Burton+Ruler+Boa+2021+Snowboard+Boots.jpg
DC,DC Phase 2021,"
        € 139,95",https://www.blue-tomato.com/de-AT/product/DC-Phase+2021+Snowboardboots-614781/,//images.blue-tomato.com/is/image/bluetomato/304264956_front.jpg-aldVurR7AY_DADJDFH8TyM-gpug/DC+Phase+2021+Snowboardboots.jpg
CAPiTA,CAPiTA Mercury 157 2021,"
        € 429,-",https://www.blue-tomato.com/de-AT/product/CAPiTA-Mercury+157+2021+Snowboard-618452/,//images.blue-tomato.com/is/image/bluetomato/304300171_front.jpg-Jo-Pyf05En-Nb65MIoGlL1HHD2M/CAPiTA+Mercury+157+2021+Snowboard.jpg
Burton,Burton Step On 2021,"
        € 239,95",https://www.blue-tomato.com/de-AT/product/Burton-Step+On+2021+Snowboardbindung-567090/,//images.blue-tomato.com/is/image/bluetomato/303922457_front.jpg-CRN2lAZQIQD0z2Mcc3z4opc12GY/Burton+Step+On+2021+Snowboardbindung.jpg
UNION,UNION Falcor 2021,"
        € 289,95",https://www.blue-tomato.com/de-AT/product/UNION-Falcor+2021+Snowboardbindung-618608/,//images.blue-tomato.com/is/image/bluetomato/304300391_front.jpg-G_QC19Y-Qr5EGzs61wMclWEBG5Q/UNION+Falcor+2021+Snowboardbindung.jpg
Gecko,Gecko Mounted 140mm Splitboard Skin,"
        € 159,95",https://www.blue-tomato.com/de-AT/product/Gecko-Mounted+140mm+Splitboard+Skin-646110/,//images.blue-tomato.com/is/image/bluetomato/304512037_front.jpg-qmQbFYg2ksFZsPAehhnBD6V-EJ0/Gecko+Mounted+140mm+Splitboard+Skin.jpg
